Month,Avrg. Windspeed (knots),Temperature departure from average (°C)
Jun-16,31.27,0.77
Aug-18,46.39,0.88
Sep-18,42.65,0.87
Oct-18,81.36,0.79
Nov-18,47.24,0.81
Apr-17,39.44,0.84
Jun-17,38.28,0.9
Jul-17,32.05,1.01
Aug-17,45.60,0.99
Sep-17,73.30,1.01
Oct-17,47.80,0.78
Nov-17,35.24,0.85
May-18,35.19,0.08
Jul-18,39.41,0.2
Aug-18,33.86,0.39
Sep-18,50.11,0.46
Oct-18,59.73,0.54
Nov-18,59.00,0.52
Jul-19,37.17,0.7
Aug-19,44.25,0.85
Sep-19,61.76,1.01
Oct-19,45.66,0.9
Nov-19,49.71,0.71
May-20,40.40,0.85
Jun-20,36.05,1.03
Jul-20,37.83,1.04
Aug-20,45.52,0.99
Sep-20,45.68,0.94
Oct-20,57.06,0.87
Nov-20,53.41,0.67
May-21,39.41,0.57
Jun-21,34.51,0.57
Jul-21,51.95,0.58
Aug-21,43.98,0.69
Sep-21,55.60,0.87
Oct-21,61.23,0.74
Nov-21,40.69,0.81
Jun-22,39.33,0.67
Jul-22,56.88,0.65
Aug-22,25.00,0.8
Sep-22,55.33,0.91
Oct-22,38.44,0.86
Nov-22,49.10,0.6
May-23,20.00,1.23
Jun-23,39.63,1.62
Jul-23,38.36,1.66
Aug-23,43.18,1.6
Sep-23,48.97,1.7
Oct-23,45.27,1.65
Jun-24,47.71,1.63
Jul-24,74.50,1.48
Aug-24,51.78,1.43
Sep-24,47.80,1.42
Oct-24,67.73,1.42
Nov-24,51.11,1.25
