"catalog_number","pollinator_family","pollinator_genus","pollinator_species","pollinator_sex","plant_sp_code","plant_species","collection_method","pantrap_colour","collector_number","day_collected","month_collected","year_collected","time_of_day_collected","location_description","location_name","habitat","latitude","longitude","basis_of_record","location_specimen","study_director","study"
"SFU705928","Megachilidae","Osmia","lignaria","M",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705929","Diptera","Diptera",NA,"F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705930","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705931","Diptera","Diptera",NA,"F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705932","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705933","Megachilidae","Osmia","hemera","M",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705934","Andrenidae","Andrena","nigrocaerulea","F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705935","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705936","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705937","Sarcophagidae","Sarcophagidae",NA,NA,NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705938","Apidae","Nomada","crutchii","F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","YORK","Neame","GO_PT_2007"
"SFU705939","Andrenidae","Andrena","sp.","M",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705940","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705941","Andrenidae","Andrena","sp. 2","F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705942","Andrenidae","Andrena","nigrocaerulea","F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705943","Megachilidae","Osmia","lignaria","F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705944","Andrenidae","Andrena","nigrocaerulea","F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705945","Tachinidae","Tachinidae",NA,"F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705946","Halictidae","Lasioglossum","olympiae","F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705947","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705948","Megachilidae","Osmia","lignaria","M",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","UBC","Neame","GO_PT_2007"
"SFU705949","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705950","Megachilidae","Osmia","trevoris","M",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705951","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705952","Andrenidae","Andrena","nigrocaerulea","F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705953","Andrenidae","Andrena","nigrocaerulea","F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705954","Andrenidae","Andrena","transnigra","F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705955","Halictidae","Halictus","rubicundus","F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705956","Andrenidae","Andrena","nigrocaerulea","F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705957","Andrenidae","Andrena","nigrocaerulea","F",NA,NA,"Pantrap, white","white",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705958","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705959","Ichneumonidae","Ichneumonidae",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705960","Diptera","Diptera",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705961","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705962","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705963","Megachilidae","Osmia","lignaria","M",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","RBCM","Neame","GO_PT_2007"
"SFU705964","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705965","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705966","Diptera","Diptera",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705967","Andrenidae","Andrena","sp. 2","F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705968","Megachilidae","Osmia","lignaria","M",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","UBC","Neame","GO_PT_2007"
"SFU705969","Megachilidae","Osmia","lignaria","F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705970","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705971","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705972","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705973","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705974","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705975","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705976","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705977","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705978","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705979","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705980","Diptera","Diptera",NA,NA,NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705981","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705982","Andrenidae","Andrena","sp.","M",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705983","Diptera","Diptera",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705984","Diptera","Diptera",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705985","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705986","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, yellow","yellow",20,30,"Apr",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705987","Apidae","Bombus","mixtus","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705988","Apidae","Bombus","flavifrons","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705989","Halictidae","Lasioglossum","pacificum","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705990","Apidae","Bombus","flavifrons","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705991","Halictidae","Lasioglossum","olympiae","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705992","Syrphidae","Heringia",NA,NA,NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705993","Apidae","Bombus","flavifrons","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705994","Apidae","Bombus","mixtus","M",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705995","Apidae","Bombus","flavifrons","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705996","Halictidae","Lasioglossum","olympiae","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705997","Apidae","Bombus","flavifrons","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU705998","Halictidae","Lasioglossum","olympiae","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU706067","Megachilidae","Osmia","lignaria","F",NA,NA,"Pantrap, white","white",20,23,"Apr",2007,NA,"Costain Green, Oak Bay","CG","Garry Oak",48.452754,-123.301117,"specimen","SFU","Neame","GO_PT_2007"
"SFU706068","Megachilidae","Osmia","lignaria","F",NA,NA,"Pantrap, white","white",20,23,"Apr",2007,NA,"Costain Green, Oak Bay","CG","Garry Oak",48.452754,-123.301117,"specimen","SFU","Neame","GO_PT_2007"
"SFU706070","Symphyta","Symphyta",NA,"F",NA,NA,"Pantrap, white","white",20,23,"Apr",2007,NA,"Costain Green, Oak Bay","CG","Garry Oak",48.452754,-123.301117,"specimen","SFU","Neame","GO_PT_2007"
"SFU706071","Apidae","Bombus","flavifrons","F",NA,NA,"Pantrap, white","white",20,23,"Apr",2007,NA,"Costain Green, Oak Bay","CG","Garry Oak",48.452754,-123.301117,"specimen","SFU","Neame","GO_PT_2007"
"SFU706072","Muscoidea","Muscoidea",NA,"F",NA,NA,"Pantrap, white","white",20,23,"Apr",2007,NA,"Costain Green, Oak Bay","CG","Garry Oak",48.452754,-123.301117,"specimen","SFU","Neame","GO_PT_2007"
"SFU706073","Syrphidae","Eumerus","narcissi","F",NA,NA,"Pantrap, white","white",20,24,"May",2007,NA,"Costain Green, Oak Bay","CG","Garry Oak",48.452754,-123.301117,"specimen","SFU","Neame","GO_PT_2007"
"SFU706074","Muscidae","Muscidae (metallic)","sp.","F",NA,NA,"Pantrap, white","white",20,24,"May",2007,NA,"Costain Green, Oak Bay","CG","Garry Oak",48.452754,-123.301117,"specimen","SFU","Neame","GO_PT_2007"
"SFU706075","Tachinidae","Tachinidae",NA,"F",NA,NA,"Pantrap, white","white",20,24,"May",2007,NA,"Costain Green, Oak Bay","CG","Garry Oak",48.452754,-123.301117,"specimen","SFU","Neame","GO_PT_2007"
"SFU706076","Ichneumonidae","Ichneumonidae",NA,"F",NA,NA,"Pantrap, white","white",20,24,"May",2007,NA,"Costain Green, Oak Bay","CG","Garry Oak",48.452754,-123.301117,"specimen","SFU","Neame","GO_PT_2007"
"SFU706077","Ichneumonidae","Ichneumonidae",NA,"F",NA,NA,"Pantrap, white","white",20,24,"May",2007,NA,"Costain Green, Oak Bay","CG","Garry Oak",48.452754,-123.301117,"specimen","SFU","Neame","GO_PT_2007"
"SFU706078","Diptera","Diptera",NA,"F",NA,NA,"Pantrap, white","white",20,24,"May",2007,NA,"Costain Green, Oak Bay","CG","Garry Oak",48.452754,-123.301117,"specimen","SFU","Neame","GO_PT_2007"
"SFU706079","Halictidae","Lasioglossum","zonulum","F",NA,NA,"Pantrap, white","white",20,24,"May",2007,NA,"Costain Green, Oak Bay","CG","Garry Oak",48.452754,-123.301117,"specimen","SFU","Neame","GO_PT_2007"
"SFU706080","Ichneumonidae","Ichneumonidae",NA,"F",NA,NA,"Pantrap, white","white",20,24,"May",2007,NA,"Costain Green, Oak Bay","CG","Garry Oak",48.452754,-123.301117,"specimen","SFU","Neame","GO_PT_2007"
"SFU706081","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, white","white",20,24,"May",2007,NA,"Costain Green, Oak Bay","CG","Garry Oak",48.452754,-123.301117,"specimen","SFU","Neame","GO_PT_2007"
"SFU706082","Halictidae","Lasioglossum","olympiae","F",NA,NA,"Pantrap, white","white",20,24,"May",2007,NA,"Costain Green, Oak Bay","CG","Garry Oak",48.452754,-123.301117,"specimen","SFU","Neame","GO_PT_2007"
"SFU706083","Tachinidae","Tachinidae",NA,"F",NA,NA,"Pantrap, white","white",20,24,"May",2007,NA,"Costain Green, Oak Bay","CG","Garry Oak",48.452754,-123.301117,"specimen","SFU","Neame","GO_PT_2007"
"SFU705999","Apidae","Bombus","mixtus","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU706000","Apidae","Bombus","flavifrons","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU706001","Halictidae","Lasioglossum","olympiae","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU706002","Apidae","Bombus","mixtus","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU706003","Megachilidae","Osmia","odontogaster","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU706004","Apidae","Bombus","flavifrons","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU706005","Apidae","Bombus","flavifrons","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU706006","Apidae","Bombus","flavifrons","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU706007","Megachilidae","Osmia","lignaria","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
"SFU706008","Apidae","Bombus","mixtus","F",NA,NA,"Pantrap, blue","blue",20,22,"May",2007,NA,"Bear Hill Regional Park, Victoria CRD","BH","Garry Oak",48.545605,-123.406769,"specimen","SFU","Neame","GO_PT_2007"
